time,torque,rpm
1745773070.263279,190.75,315.0
1745773070.303471,194.75,337.0
1745773070.344408,196.1875,365.0
1745773070.384555,196.1875,390.0
1745773070.422753,196.1875,415.0
1745773070.462693,198.0,436.0
1745773070.502876,196.1875,462.0
1745773070.543083,185.1875,494.0
1745773070.583346,180.0,502.0
1745773070.623625,180.0,520.0
1745773070.662404,183.75,549.0
1745773070.702393,191.0,592.0
1745773070.742529,202.0,597.0
1745773070.782769,207.875,635.0
1745773070.823202,216.75,648.0
1745773070.863327,217.0,678.0
1745773070.902057,217.0,708.0
1745773070.941991,215.0,728.0
1745773070.982185,215.0,768.0
1745773071.022401,215.0625,790.0
1745773071.062704,217.0,808.0
1745773071.102911,217.0,825.0
1745773071.141685,215.0625,851.0
1745773071.181978,215.0625,883.0
1745773071.221784,217.0,892.0
1745773071.262028,217.0,940.0
1745773071.302318,217.0,981.0
1745773071.342524,215.0,987.0
1745773071.381413,215.0,1006.0
1745773071.421265,215.0,1026.0
1745773071.461969,215.0,1054.0
1745773071.502093,215.0,1080.0
1745773071.542028,215.0,1103.0
1745773071.582246,216.875,1130.0
1745773071.620982,217.0,1157.0
1745773071.661506,215.0,1179.0
1745773071.701168,215.0,1205.0
1745773071.741845,215.0,1233.0
1745773071.781705,215.0,1256.0
1745773071.821955,215.0,1255.0
1745773071.860706,215.0,1294.0
1745773071.900551,215.0,1310.0
1745773071.940719,213.0,1356.0
1745773071.982904,208.6875,1374.0
1745773072.021362,197.6875,1398.0
1745773072.062114,169.6875,1404.0
1745773072.102101,141.6875,1414.0
1745773072.140224,113.6875,1428.0
1745773072.180505,85.6875,1432.0
1745773072.220604,57.6875,1433.0
1745773072.26091,29.6875,1421.0
1745773072.30116,1.6875,1394.0
1745773072.339915,-0.0,1352.0
1745773072.379862,-0.0,1399.0
1745773072.420035,-0.0,1372.0
1745773072.460388,-0.0,1351.0
1745773072.500543,-0.0,1358.0
1745773072.540791,-0.0,1323.0
1745773072.579523,-0.0,1303.0
1745773072.619534,-0.0,1302.0
1745773072.659725,-0.0,1290.0
1745773072.700008,-0.0,1259.0
1745773072.740177,-0.0,1257.0
1745773072.780524,-0.0,1248.0
1745773072.819334,-0.0,1227.0
1745773072.859342,-0.0,1237.0
1745773072.899461,-0.0,1222.0
1745773072.939653,-0.0,1227.0
1745773072.9799,-0.0,1230.0
1745773073.020194,-0.0,1220.0
1745773073.058839,-0.0,1205.0
1745773073.098784,-0.0,1202.0
1745773073.139542,-0.0,1200.0
1745773073.179549,-0.0,1194.0
1745773073.219581,-0.0,1198.0
1745773073.259796,-0.0,1181.0
1745773073.298774,-0.0,1168.0
1745773073.338414,-0.0,1191.0
1745773073.379265,-0.0,1171.0
1745773073.419484,1.75,1175.0
1745773073.459614,29.6875,1220.0
1745773073.500535,57.6875,1199.0
1745773073.53813,75.75,1201.0
1745773073.580287,79.0,1207.0
1745773073.618164,83.0,1214.0
1745773073.658577,88.0,1255.0
1745773073.699665,90.0,1241.0
1745773073.739913,91.75,1250.0
1745773073.777689,90.1875,1259.0
1745773073.817636,88.0,1268.0
1745773073.857782,83.0,1280.0
1745773073.898044,74.0,1280.0
1745773073.938364,59.0,1279.0
1745773073.978683,32.75,1273.0
1745773074.017336,4.75,1268.0
1745773074.05728,-0.0,1225.0
1745773074.097423,-0.0,1256.0
1745773074.137692,-0.0,1287.0
1745773074.177952,-0.0,1252.0
1745773074.218382,-0.0,1229.0
1745773074.256987,-0.0,1245.0
1745773074.296989,-0.0,1240.0
1745773074.337086,-0.0,1226.0
