time,torque,rpm
1746110501.118836,27.0,52.0
1746110501.159197,28.0,51.0
1746110501.199417,27.0,52.0
1746110501.238087,28.0,61.0
1746110501.278202,27.0,60.0
1746110501.318446,27.0,56.0
1746110501.358699,27.0,63.0
1746110501.398934,27.0,67.0
1746110501.439234,27.0,65.0
1746110501.477916,27.0,73.0
1746110501.518024,27.0,76.0
1746110501.558316,27.0,78.0
1746110501.598566,27.0,78.0
1746110501.638766,25.0,82.0
1746110501.679052,27.0,83.0
1746110501.71779,27.0,83.0
1746110501.757911,27.0,89.0
1746110501.798153,27.0,92.0
1746110501.838432,27.0,94.0
1746110501.878625,27.0,97.0
1746110501.918965,25.0,94.0
1746110501.9576,23.0,98.0
1746110501.997717,23.0,100.0
1746110502.037999,23.0,106.0
1746110502.078155,23.0,109.0
1746110502.118563,23.0,109.0
1746110502.158814,23.0,107.0
1746110502.197633,22.0,109.0
1746110502.237848,23.0,118.0
1746110502.277845,25.0,128.0
1746110502.318148,23.0,121.0
1746110502.358416,23.0,121.0
1746110502.398623,23.0,120.0
1746110502.437302,23.0,131.0
1746110502.479272,25.0,130.0
1746110502.518112,23.0,125.0
1746110502.557963,23.0,124.0
1746110502.598243,23.0,132.0
1746110502.63854,23.0,138.0
1746110502.677506,23.0,137.0
1746110502.717217,23.0,139.0
1746110502.757495,23.0,132.0
1746110502.798179,23.0,137.0
1746110502.838075,23.0,142.0
1746110502.878362,22.0,145.0
1746110502.916948,23.0,144.0
1746110502.957053,23.0,145.0
1746110502.997316,23.0,149.0
1746110503.037636,23.0,152.0
1746110503.078308,23.0,155.0
1746110503.118534,23.0,158.0
1746110503.156893,23.0,162.0
1746110503.196968,23.0,160.0
1746110503.237178,23.0,163.0
1746110503.277449,25.0,164.0
1746110503.317764,25.0,167.0
1746110503.358985,23.0,165.0
1746110503.39665,25.0,169.0
1746110503.436789,25.0,171.0
1746110503.477078,23.0,175.0
1746110503.517283,25.0,180.0
1746110503.557605,23.0,178.0
1746110503.597891,25.0,181.0
1746110503.636472,25.0,181.0
1746110503.676538,23.0,185.0
1746110503.71684,23.0,190.0
1746110503.757226,23.0,187.0
1746110503.79743,23.0,190.0
1746110503.837727,22.0,195.0
1746110503.876293,23.0,199.0
1746110503.916444,23.0,203.0
1746110503.956674,25.0,202.0
1746110503.996977,25.0,198.0
1746110504.037291,23.0,200.0
1746110504.077566,23.0,203.0
1746110504.116141,23.0,208.0
1746110504.156297,25.0,215.0
1746110504.196597,23.0,214.0
1746110504.23684,23.0,211.0
1746110504.277173,23.0,215.0
1746110504.317441,23.0,218.0
1746110504.356041,23.0,218.0
1746110504.396132,23.0,224.0
1746110504.436364,23.0,226.0
1746110504.47665,23.0,223.0
1746110504.51695,23.0,227.0
1746110504.557298,22.0,228.0
1746110504.595801,22.0,231.0
1746110504.635947,22.0,235.0
1746110504.676219,22.0,235.0
1746110504.716515,23.0,234.0
1746110504.756845,22.0,240.0
1746110504.797122,22.0,241.0
1746110504.835685,22.0,242.0
1746110504.875703,23.0,246.0
1746110504.916102,22.0,244.0
1746110504.956315,22.0,248.0
1746110504.996631,22.0,249.0
1746110505.036944,20.0,245.0
1746110505.075536,18.0,247.0
1746110505.115564,17.0,247.0
1746110505.155989,17.0,261.0
1746110505.196263,17.0,253.0
1746110505.236473,17.0,253.0
1746110505.276765,17.0,255.0
1746110505.315339,17.0,253.0
1746110505.355479,17.0,258.0
1746110505.395895,17.0,257.0
1746110505.43606,17.0,258.0
1746110505.476417,15.0,259.0
1746110505.516655,17.0,258.0
1746110505.555222,15.0,257.0
1746110505.595244,17.0,261.0
1746110505.635649,17.0,265.0
1746110505.67593,17.0,261.0
1746110505.716362,13.0,253.0
1746110505.756525,11.0,260.0
1746110505.795475,-0.0,251.0
1746110505.835135,-0.0,253.0
1746110505.875455,-0.0,265.0
1746110505.916607,-0.0,253.0
1746110505.956195,-0.0,249.0
1746110505.996396,-0.0,257.0
1746110506.035021,-0.0,252.0
1746110506.075107,-0.0,245.0
1746110506.115357,-0.0,248.0
